   edgecnt,totalfence,    keycnt,       pts,     polys,       gen,      cost,  fencecnt
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         4
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         4
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         4
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         4
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         3
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         2
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
      6246,      8807,      4220,         1,        75,      9210,      6459,         1
