   edgecnt,totalfence,    keycnt,       pts,     polys,       gen,      cost,  fencecnt
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         6
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         4
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         4
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         3
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         2
      8391,      9717,      5639,        10,        47,     10171,   7669.47,         1
