         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         6,   47905.6,         6,         6,       169,         0,         0,    839409,1.09389e+06,    250757,    253489,   9271.86,     21581,   7283.03,     21581,    190488,     19935,    167580,     20267,      2309,      3281,    188666,     23476,    164038,     20479,      2275,    161636,    117038,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   44868.8,         6,         6,       222,         0,         0,    696397,1.00009e+06,    195487,    225784,   13784.4,     34424,   12717.9,     34424,    296159,     27352,    263285,     28043,      3158,      4626,    300561,     31788,    263096,     27819,      3104,    116192,     97113,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   81955.7,         6,         6,       207,         0,         0,1.12815e+06,1.68648e+06,    272514,    307358,   49482.8,     83587,   44959.6,     83587,    634893,     59678,    553124,     61436,      5828,      9061,    659192,     66969,    556653,     59707,      5677,    237715,    159460,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   76962.1,         6,         6,       332,         0,         0,1.18249e+06,1.61026e+06,    379984,    380025,   50245.5,     99795,   45717.1,     99795,    777292,     72987,    684540,     78145,      7221,     14265,    786583,     84929,    684141,     75797,      7097,    431507,    256766,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   56767.8,         6,         6,       226,         0,         0,    885897,1.24882e+06,    287058,    303360,   16371.6,     40450,   15392.4,     40450,    326336,     29601,    291938,     32331,      3283,      6931,    322262,     35291,    285825,     31083,      3173,    246455,    175108,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   69494.4,         6,         6,       244,         0,         0,    947092,1.37155e+06,    286388,    318413,   45350.2,     89249,   43922.3,     89249,    514270,     53247,    447756,     51830,      5610,      5644,    522866,     58520,    442487,     51479,      5479,    262788,    179649,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,     48199,         6,         6,       198,         0,         0,    677174,1.01624e+06,    209194,    224913,   12478.5,     31465,   12948.1,     31465,    203160,     20334,    179414,     20948,      2323,      3573,    216968,     24041,    188391,     21036,      2283,    146711,    113029,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   73721.6,         6,         6,       249,         0,         0, 1.069e+06,1.58594e+06,    427078,    378262,     16601,     37276,   17666.2,     37276,    326276,     27904,    284949,     31554,      2926,      7442,    324366,     34365,    276772,     30581,      2787,    356951,    216479,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   77673.5,         6,         6,       276,         0,         0,1.00293e+06,1.63485e+06,    264831,    290293,   24716.3,     55287,   23050.8,     55287,    461359,     39742,    410397,     44757,      3930,     10097,    448099,     48224,    387280,     43100,      3828,    263483,    177169,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   58352.1,         6,         6,       253,         0,         0,    852666,1.20482e+06,    264884,    294244,   22195.3,     52229,   20925.9,     52229,    430097,     43026,    373510,     42638,      4695,      5495,    425250,     48529,    369293,     42584,      4639,    225276,    164469,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   47020.8,         6,         6,       191,         0,         0,    578667,    987421,    128812,    167533,   8363.19,     23093,   7418.32,     23093,    211525,     18051,    188551,     19628,      2072,      4217,    199479,     22003,    176121,     19354,      1994,    124637,     85483,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,     71716,         6,         6,       311,         0,         0,1.04848e+06,1.56575e+06,    333616,    336293,   30934.3,     68580,   30917.6,     68580,    557438,     46003,    492598,     50986,      4842,     11139,    571131,     54699,    493157,     48573,      4663,    355355,    223317,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,     77349,         6,         6,       355,         0,         0,1.1867e+06,1.61203e+06,    420344,    393903,   60905.5,    127952,   62844.6,    127952,    777743,     74777,    686647,     79074,      7409,     13694,    782192,     86114,    678763,     76699,      7265,    449372,    271664,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   36343.1,         6,         6,       175,         0,         0,    474906,    773764,    118706,    158651,   8156.92,     21903,   6750.45,     21903,    224869,     19658,    202634,     20605,      2148,      3685,    224577,     23296,    200757,     20518,      2118,   62009.4,     56942,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,     63983,         6,         6,       148,         0,         0,1.04266e+06,1.39226e+06,    353551,    356002,   10658.4,     24328,   8992.82,     24328,    201628,     21152,    178035,     22320,      2301,      4104,    199079,     25152,    174510,     22207,      2224,    265208,    190244,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         6,   44071.6,         6,         6,       223,         0,         0,    733235,1.04674e+06,    204976,    244259,   14372.9,     38437,   14189.4,     38437,    270674,     24087,    243758,     25532,      2715,      4864,    266133,     28695,    237237,     25228,      2651,    132024,    107404,    467162,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
